"MD_EARN_WNE_P6","HIGHDEG","REGION","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","C150_4","C150_L4","UGDS","UGDS_MEN","NPT4_PUB","NPT4_PRIV","PCIP04","PCIP05","PCIP09","PCIP11","PCIP12","PCIP14","PCIP23","PCIP26","PCIP27","PCIP38","PCIP42","PCIP45","PCIP50","PCIP51","PCIP52","PCIP54","ADM_RATE","SAT_AVG"
46059,NA,"Far West",0.1685,0.0366,0.4311,22.4,0.0012,0.0029,0.6937,NA,31503,0.4339,8982,NA,0,0.0122,0.0717,0.0208,0,0.0799,0.0341,0.0304,0.0075,0.0034,0.0595,0.0838,0.1018,0.0862,0.1668,0.0188,0.3121,1146
42517,NA,"Far West",0.0507,0.0334,0.6761,13,7e-04,0.0011,0.485,NA,24163,0.4247,4175,NA,0,0.0044,0.0795,0.0435,0,0.0435,0.016,0.0446,0.0059,0.0046,0.0553,0.1039,0.0353,0.1132,0.196,0.0124,0.4152,978
42178,NA,"Far West",0.2049,0.0471,0.4951,10.04,0.0011,0.001,0.5394,NA,34911,0.4599,8243,NA,0,0.021,0.1121,0.0309,0,0.0458,0.0174,0.0351,0.0055,0.004,0.0946,0.1056,0.0458,0.1035,0.1912,0.0125,0.5063,1027
47905,NA,"Far West",0.2567,0.0597,0.3231,20.07,0.0026,0.0073,0.5114,NA,28439,0.446,9722,NA,0,0.0147,0.0853,0.0223,0,0.0701,0.022,0.0357,0.0078,0.0036,0.0669,0.098,0.0374,0.0846,0.1339,0.0157,0.6386,1030
65914,NA,"Far West",0.2487,0.0184,0.1524,35.1,9e-04,0.0012,0.914,NA,30845,0.4739,14846,NA,0.02,0.0239,0.0337,0.0648,0,0.1082,0.0387,0.099,0.051,0.0119,0.0292,0.2016,0.0225,0.0229,0.0419,0.0184,0.1484,1448
54621,NA,"Far West",0.2376,0.022,0.2239,27.31,0.0018,0.004,0.8645,NA,30698,0.3963,14729,NA,0.0087,0.0131,0.0338,0.0372,0,0.1004,0.0187,0.1734,0.0302,0.0049,0.0823,0.153,0.0424,0.0162,0.0713,0.0146,0.4107,1292
52679,NA,"Far West",0.1341,0.0206,0.2604,35.82,8e-04,0.003,0.8337,NA,29722,0.4861,14604,NA,0,0.0074,0.0037,0.0875,0,0.1074,0.0151,0.0881,0.0246,0.0043,0.1036,0.1794,0.0482,0.0942,0.105,0.0092,0.2876,1316
55427,NA,"Far West",0.266,0.0342,0.2216,27.95,0.0021,0.0026,0.9051,NA,31568,0.4217,14171,NA,0.0022,0.0334,0,0.0251,0,0.0704,0.0371,0.1606,0.0642,0.0128,0.1099,0.2637,0.0438,0.0053,0.0251,0.0325,0.1404,1423
45632,NA,"Far West",0.1142,0.0391,0.4103,34.32,0.0016,0.0041,0.7453,NA,20574,0.4579,12743,NA,0,0.0132,0,0.0303,0,0.0975,0.041,0.1629,0.0348,0.0102,0.105,0.1977,0.0455,0,0.1609,0.0186,0.5057,1229
56844,NA,"Far West",0.194,0.0161,0.2012,33.85,9e-04,0.0029,0.859,NA,30279,0.5018,13318,NA,0,0.005,0.0338,0.0734,0,0.1444,0.0094,0.2255,0.0564,0.0022,0.0488,0.1195,0.0241,0.0319,0.0347,0.0057,0.3006,1372
